route,hour,total_in
Route 4 Sunset,0,0
Route 4 Sunset,1,0
Route 4 Sunset,2,0
Route 4 Sunset,3,0
Route 4 Sunset,4,0
Route 4 Sunset,5,94
Route 4 Sunset,6,95
Route 4 Sunset,7,373
Route 4 Sunset,8,292
Route 4 Sunset,9,270
Route 4 Sunset,10,232
Route 4 Sunset,11,313
Route 4 Sunset,12,294
Route 4 Sunset,13,337
Route 4 Sunset,14,314
Route 4 Sunset,15,469
Route 4 Sunset,16,230
Route 4 Sunset,17,246
Route 4 Sunset,18,167
Route 4 Sunset,19,212
Route 4 Sunset,20,24
Route 4 Sunset,21,12
Route 4 Sunset,22,0
Route 4 Sunset,23,0
Route 4 Sunset,0,0
Route 4 Sunset,1,0
Route 4 Sunset,2,0
Route 4 Sunset,3,0
Route 4 Sunset,4,0
Route 4 Sunset,5,94
Route 4 Sunset,6,95
Route 4 Sunset,7,382
Route 4 Sunset,8,295
Route 4 Sunset,9,299
Route 4 Sunset,10,240
Route 4 Sunset,11,324
Route 4 Sunset,12,299
Route 4 Sunset,13,346
Route 4 Sunset,14,321
Route 4 Sunset,15,485
Route 4 Sunset,16,230
Route 4 Sunset,17,254
Route 4 Sunset,18,169
Route 4 Sunset,19,214
Route 4 Sunset,20,20
Route 4 Sunset,21,2
Route 4 Sunset,22,0
Route 4 Sunset,23,0
Route 4 Sunset,0,0
Route 4 Sunset,1,0
Route 4 Sunset,2,0
Route 4 Sunset,3,0
Route 4 Sunset,4,0
Route 4 Sunset,5,94
Route 4 Sunset,6,95
Route 4 Sunset,7,373
Route 4 Sunset,8,295
Route 4 Sunset,9,268
Route 4 Sunset,10,232
Route 4 Sunset,11,314
Route 4 Sunset,12,295
Route 4 Sunset,13,337
Route 4 Sunset,14,315
Route 4 Sunset,15,469
Route 4 Sunset,16,231
Route 4 Sunset,17,246
Route 4 Sunset,18,167
Route 4 Sunset,19,213
Route 4 Sunset,20,21
Route 4 Sunset,21,2
Route 4 Sunset,22,0
Route 4 Sunset,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,434
Route 2 Riverside,8,464
Route 2 Riverside,9,395
Route 2 Riverside,10,208
Route 2 Riverside,11,399
Route 2 Riverside,12,431
Route 2 Riverside,13,501
Route 2 Riverside,14,485
Route 2 Riverside,15,442
Route 2 Riverside,16,606
Route 2 Riverside,17,467
Route 2 Riverside,18,335
Route 2 Riverside,19,158
Route 2 Riverside,20,72
Route 2 Riverside,21,12
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,473
Route 2 Riverside,9,397
Route 2 Riverside,10,202
Route 2 Riverside,11,384
Route 2 Riverside,12,428
Route 2 Riverside,13,501
Route 2 Riverside,14,484
Route 2 Riverside,15,433
Route 2 Riverside,16,626
Route 2 Riverside,17,460
Route 2 Riverside,18,339
Route 2 Riverside,19,157
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,436
Route 2 Riverside,8,463
Route 2 Riverside,9,395
Route 2 Riverside,10,204
Route 2 Riverside,11,387
Route 2 Riverside,12,427
Route 2 Riverside,13,496
Route 2 Riverside,14,484
Route 2 Riverside,15,432
Route 2 Riverside,16,606
Route 2 Riverside,17,460
Route 2 Riverside,18,341
Route 2 Riverside,19,157
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,433
Route 2 Riverside,8,465
Route 2 Riverside,9,409
Route 2 Riverside,10,204
Route 2 Riverside,11,389
Route 2 Riverside,12,428
Route 2 Riverside,13,504
Route 2 Riverside,14,481
Route 2 Riverside,15,440
Route 2 Riverside,16,599
Route 2 Riverside,17,471
Route 2 Riverside,18,334
Route 2 Riverside,19,159
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,463
Route 2 Riverside,9,397
Route 2 Riverside,10,201
Route 2 Riverside,11,387
Route 2 Riverside,12,427
Route 2 Riverside,13,502
Route 2 Riverside,14,487
Route 2 Riverside,15,432
Route 2 Riverside,16,602
Route 2 Riverside,17,468
Route 2 Riverside,18,340
Route 2 Riverside,19,156
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,463
Route 2 Riverside,9,399
Route 2 Riverside,10,202
Route 2 Riverside,11,392
Route 2 Riverside,12,433
Route 2 Riverside,13,498
Route 2 Riverside,14,481
Route 2 Riverside,15,443
Route 2 Riverside,16,605
Route 2 Riverside,17,467
Route 2 Riverside,18,337
Route 2 Riverside,19,166
Route 2 Riverside,20,78
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,484
Route 2 Riverside,9,401
Route 2 Riverside,10,204
Route 2 Riverside,11,386
Route 2 Riverside,12,431
Route 2 Riverside,13,514
Route 2 Riverside,14,485
Route 2 Riverside,15,448
Route 2 Riverside,16,604
Route 2 Riverside,17,469
Route 2 Riverside,18,337
Route 2 Riverside,19,160
Route 2 Riverside,20,73
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,437
Route 2 Riverside,8,468
Route 2 Riverside,9,410
Route 2 Riverside,10,208
Route 2 Riverside,11,391
Route 2 Riverside,12,434
Route 2 Riverside,13,510
Route 2 Riverside,14,488
Route 2 Riverside,15,461
Route 2 Riverside,16,608
Route 2 Riverside,17,487
Route 2 Riverside,18,352
Route 2 Riverside,19,163
Route 2 Riverside,20,73
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,597
Route 2 Riverside,8,768
Route 2 Riverside,9,570
Route 2 Riverside,10,417
Route 2 Riverside,11,433
Route 2 Riverside,12,595
Route 2 Riverside,13,640
Route 2 Riverside,14,714
Route 2 Riverside,15,614
Route 2 Riverside,16,748
Route 2 Riverside,17,638
Route 2 Riverside,18,535
Route 2 Riverside,19,236
Route 2 Riverside,20,156
Route 2 Riverside,21,33
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,453
Route 2 Riverside,8,479
Route 2 Riverside,9,404
Route 2 Riverside,10,204
Route 2 Riverside,11,412
Route 2 Riverside,12,439
Route 2 Riverside,13,508
Route 2 Riverside,14,500
Route 2 Riverside,15,467
Route 2 Riverside,16,612
Route 2 Riverside,17,493
Route 2 Riverside,18,340
Route 2 Riverside,19,168
Route 2 Riverside,20,78
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,435
Route 2 Riverside,8,476
Route 2 Riverside,9,427
Route 2 Riverside,10,210
Route 2 Riverside,11,399
Route 2 Riverside,12,435
Route 2 Riverside,13,544
Route 2 Riverside,14,509
Route 2 Riverside,15,480
Route 2 Riverside,16,624
Route 2 Riverside,17,500
Route 2 Riverside,18,340
Route 2 Riverside,19,168
Route 2 Riverside,20,77
Route 2 Riverside,21,15
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,463
Route 2 Riverside,9,395
Route 2 Riverside,10,204
Route 2 Riverside,11,388
Route 2 Riverside,12,428
Route 2 Riverside,13,499
Route 2 Riverside,14,482
Route 2 Riverside,15,436
Route 2 Riverside,16,601
Route 2 Riverside,17,466
Route 2 Riverside,18,357
Route 2 Riverside,19,156
Route 2 Riverside,20,73
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,433
Route 2 Riverside,8,463
Route 2 Riverside,9,395
Route 2 Riverside,10,202
Route 2 Riverside,11,385
Route 2 Riverside,12,426
Route 2 Riverside,13,496
Route 2 Riverside,14,480
Route 2 Riverside,15,432
Route 2 Riverside,16,602
Route 2 Riverside,17,460
Route 2 Riverside,18,338
Route 2 Riverside,19,165
Route 2 Riverside,20,73
Route 2 Riverside,21,12
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,476
Route 2 Riverside,9,409
Route 2 Riverside,10,205
Route 2 Riverside,11,385
Route 2 Riverside,12,428
Route 2 Riverside,13,496
Route 2 Riverside,14,485
Route 2 Riverside,15,435
Route 2 Riverside,16,605
Route 2 Riverside,17,463
Route 2 Riverside,18,336
Route 2 Riverside,19,157
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,463
Route 2 Riverside,9,395
Route 2 Riverside,10,206
Route 2 Riverside,11,386
Route 2 Riverside,12,433
Route 2 Riverside,13,502
Route 2 Riverside,14,486
Route 2 Riverside,15,432
Route 2 Riverside,16,602
Route 2 Riverside,17,460
Route 2 Riverside,18,336
Route 2 Riverside,19,156
Route 2 Riverside,20,73
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,448
Route 2 Riverside,8,494
Route 2 Riverside,9,419
Route 2 Riverside,10,219
Route 2 Riverside,11,401
Route 2 Riverside,12,460
Route 2 Riverside,13,518
Route 2 Riverside,14,505
Route 2 Riverside,15,459
Route 2 Riverside,16,640
Route 2 Riverside,17,476
Route 2 Riverside,18,366
Route 2 Riverside,19,183
Route 2 Riverside,20,87
Route 2 Riverside,21,14
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,463
Route 2 Riverside,9,407
Route 2 Riverside,10,203
Route 2 Riverside,11,386
Route 2 Riverside,12,426
Route 2 Riverside,13,495
Route 2 Riverside,14,484
Route 2 Riverside,15,433
Route 2 Riverside,16,599
Route 2 Riverside,17,461
Route 2 Riverside,18,336
Route 2 Riverside,19,157
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,453
Route 2 Riverside,8,469
Route 2 Riverside,9,406
Route 2 Riverside,10,204
Route 2 Riverside,11,385
Route 2 Riverside,12,433
Route 2 Riverside,13,496
Route 2 Riverside,14,484
Route 2 Riverside,15,432
Route 2 Riverside,16,601
Route 2 Riverside,17,462
Route 2 Riverside,18,334
Route 2 Riverside,19,156
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,465
Route 2 Riverside,9,413
Route 2 Riverside,10,212
Route 2 Riverside,11,387
Route 2 Riverside,12,429
Route 2 Riverside,13,498
Route 2 Riverside,14,486
Route 2 Riverside,15,441
Route 2 Riverside,16,601
Route 2 Riverside,17,463
Route 2 Riverside,18,334
Route 2 Riverside,19,156
Route 2 Riverside,20,72
Route 2 Riverside,21,12
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,433
Route 2 Riverside,8,463
Route 2 Riverside,9,419
Route 2 Riverside,10,211
Route 2 Riverside,11,401
Route 2 Riverside,12,434
Route 2 Riverside,13,498
Route 2 Riverside,14,481
Route 2 Riverside,15,445
Route 2 Riverside,16,604
Route 2 Riverside,17,467
Route 2 Riverside,18,337
Route 2 Riverside,19,159
Route 2 Riverside,20,73
Route 2 Riverside,21,13
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,436
Route 2 Riverside,8,463
Route 2 Riverside,9,396
Route 2 Riverside,10,203
Route 2 Riverside,11,392
Route 2 Riverside,12,439
Route 2 Riverside,13,512
Route 2 Riverside,14,483
Route 2 Riverside,15,473
Route 2 Riverside,16,606
Route 2 Riverside,17,485
Route 2 Riverside,18,340
Route 2 Riverside,19,170
Route 2 Riverside,20,73
Route 2 Riverside,21,12
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,472
Route 2 Riverside,8,464
Route 2 Riverside,9,397
Route 2 Riverside,10,204
Route 2 Riverside,11,397
Route 2 Riverside,12,437
Route 2 Riverside,13,505
Route 2 Riverside,14,483
Route 2 Riverside,15,437
Route 2 Riverside,16,603
Route 2 Riverside,17,477
Route 2 Riverside,18,338
Route 2 Riverside,19,176
Route 2 Riverside,20,73
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,475
Route 2 Riverside,9,415
Route 2 Riverside,10,231
Route 2 Riverside,11,388
Route 2 Riverside,12,462
Route 2 Riverside,13,504
Route 2 Riverside,14,493
Route 2 Riverside,15,435
Route 2 Riverside,16,663
Route 2 Riverside,17,466
Route 2 Riverside,18,354
Route 2 Riverside,19,159
Route 2 Riverside,20,81
Route 2 Riverside,21,12
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 2 Riverside,0,0
Route 2 Riverside,1,0
Route 2 Riverside,2,0
Route 2 Riverside,3,0
Route 2 Riverside,4,0
Route 2 Riverside,5,0
Route 2 Riverside,6,206
Route 2 Riverside,7,432
Route 2 Riverside,8,463
Route 2 Riverside,9,395
Route 2 Riverside,10,202
Route 2 Riverside,11,384
Route 2 Riverside,12,428
Route 2 Riverside,13,497
Route 2 Riverside,14,487
Route 2 Riverside,15,432
Route 2 Riverside,16,608
Route 2 Riverside,17,461
Route 2 Riverside,18,338
Route 2 Riverside,19,157
Route 2 Riverside,20,72
Route 2 Riverside,21,11
Route 2 Riverside,22,0
Route 2 Riverside,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,149
Route 6 Dixie Dr South,8,119
Route 6 Dixie Dr South,9,153
Route 6 Dixie Dr South,10,159
Route 6 Dixie Dr South,11,176
Route 6 Dixie Dr South,12,121
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,182
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,134
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,32
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,149
Route 6 Dixie Dr South,8,123
Route 6 Dixie Dr South,9,153
Route 6 Dixie Dr South,10,156
Route 6 Dixie Dr South,11,181
Route 6 Dixie Dr South,12,126
Route 6 Dixie Dr South,13,157
Route 6 Dixie Dr South,14,234
Route 6 Dixie Dr South,15,211
Route 6 Dixie Dr South,16,182
Route 6 Dixie Dr South,17,149
Route 6 Dixie Dr South,18,135
Route 6 Dixie Dr South,19,98
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,165
Route 6 Dixie Dr South,8,138
Route 6 Dixie Dr South,9,160
Route 6 Dixie Dr South,10,167
Route 6 Dixie Dr South,11,202
Route 6 Dixie Dr South,12,127
Route 6 Dixie Dr South,13,165
Route 6 Dixie Dr South,14,239
Route 6 Dixie Dr South,15,231
Route 6 Dixie Dr South,16,180
Route 6 Dixie Dr South,17,142
Route 6 Dixie Dr South,18,137
Route 6 Dixie Dr South,19,103
Route 6 Dixie Dr South,20,32
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,119
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,153
Route 6 Dixie Dr South,11,180
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,153
Route 6 Dixie Dr South,14,235
Route 6 Dixie Dr South,15,217
Route 6 Dixie Dr South,16,180
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,144
Route 6 Dixie Dr South,19,98
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,165
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,155
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,234
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,180
Route 6 Dixie Dr South,17,132
Route 6 Dixie Dr South,18,133
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,158
Route 6 Dixie Dr South,8,119
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,179
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,133
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,127
Route 6 Dixie Dr South,7,216
Route 6 Dixie Dr South,8,149
Route 6 Dixie Dr South,9,221
Route 6 Dixie Dr South,10,198
Route 6 Dixie Dr South,11,215
Route 6 Dixie Dr South,12,177
Route 6 Dixie Dr South,13,198
Route 6 Dixie Dr South,14,320
Route 6 Dixie Dr South,15,291
Route 6 Dixie Dr South,16,254
Route 6 Dixie Dr South,17,209
Route 6 Dixie Dr South,18,175
Route 6 Dixie Dr South,19,185
Route 6 Dixie Dr South,20,63
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,184
Route 6 Dixie Dr South,8,125
Route 6 Dixie Dr South,9,181
Route 6 Dixie Dr South,10,170
Route 6 Dixie Dr South,11,186
Route 6 Dixie Dr South,12,126
Route 6 Dixie Dr South,13,182
Route 6 Dixie Dr South,14,246
Route 6 Dixie Dr South,15,222
Route 6 Dixie Dr South,16,186
Route 6 Dixie Dr South,17,144
Route 6 Dixie Dr South,18,134
Route 6 Dixie Dr South,19,110
Route 6 Dixie Dr South,20,33
Route 6 Dixie Dr South,21,9
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,123
Route 6 Dixie Dr South,9,150
Route 6 Dixie Dr South,10,155
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,121
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,210
Route 6 Dixie Dr South,16,184
Route 6 Dixie Dr South,17,133
Route 6 Dixie Dr South,18,134
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,153
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,210
Route 6 Dixie Dr South,16,184
Route 6 Dixie Dr South,17,134
Route 6 Dixie Dr South,18,139
Route 6 Dixie Dr South,19,98
Route 6 Dixie Dr South,20,33
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,125
Route 6 Dixie Dr South,7,150
Route 6 Dixie Dr South,8,119
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,235
Route 6 Dixie Dr South,15,230
Route 6 Dixie Dr South,16,180
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,136
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,124
Route 6 Dixie Dr South,7,160
Route 6 Dixie Dr South,8,132
